 PID, Sale_Price
908276150, 81291.3
903451090, 141281.3
527110080, 180601.6
535457010, 144257.3
903484020, 144109.9
905479110, 119923.5
527452310, 129805.7
528228445, 188376.2
923225370, 102526.8
528344040, 324644.2
532377050, 135775.3
535176050, 134497.3
906340100, 363709.5
533212050, 157311.6
909428180, 197604.2
535379110, 144022.9
534250400, 185228.4
527450520, 98968.7
527452150, 139685.7
903225040, 122667.2
911370410, 280004.5
905226080, 140761.4
914467050, 210495.7
908152260, 140761.0
534451170, 84948.4
923228310, 83020.9
910201180, 153765.8
534476100, 133726.4
923225080, 127430.9
906223210, 232085.8
905480150, 75231.7
903452090, 122669.6
527208010, 360482.4
906426090, 160289.7
903231090, 131151.1
535152280, 132027.8
528458180, 220773.7
532354060, 125317.4
909279040, 119825.1
527353060, 256139.0
916176030, 175543.1
533110130, 247308.0
911370450, 251675.7
528118110, 306796.4
528228270, 208061.7
905480240, 84299.9
914460020, 206845.0
534428060, 138435.6
534252240, 160342.7
908102050, 115740.9
914475030, 181527.1
533221040, 172797.1
535451170, 100790.6
905451340, 100926.7
528118040, 429572.1
903200080, 201560.4
527162110, 181921.6
535381040, 154848.3
528174020, 199990.2
534400290, 171385.9
903206070, 143757.3
533252130, 190810.4
906382030, 229655.2
535327200, 135051.8
535455080, 111808.0
527354160, 183466.2
902207120, 107112.9
909282060, 184419.0
902109140, 134589.9
902206270, 131879.5
533250050, 251092.0
909452050, 229464.0
527212060, 364081.6
906394060, 192254.4
534401120, 158190.8
528435010, 214215.4
528315080, 286124.5
909275030, 144280.4
528102010, 374780.5
907200290, 154708.7
902300260, 130795.8
528150110, 398607.8
535450100, 137575.9
907285010, 225670.0
533253210, 218106.6
527301280, 152462.5
905478140, 129075.3
902204080, 94723.2
907201280, 141314.0
905476170, 92298.6
923228210, 84776.9
534226120, 130242.0
527301170, 219314.1
535453040, 137359.4
535150300, 302758.5
528363020, 311866.1
907265100, 207979.6
910200060, 132578.3
532376160, 120758.3
908204180, 72976.5
909282130, 138479.5
528326110, 317776.9
534176230, 164309.4
527302210, 230712.2
526355170, 246880.5
535305180, 138948.2
905452150, 130567.1
902201090, 135311.9
527452190, 141567.0
908275280, 134428.6
527402210, 144070.3
921126010, 302888.4
905109130, 274284.2
535425070, 185514.6
905200290, 174608.5
533253060, 147091.7
535179050, 143344.2
903476100, 83782.3
533135020, 234698.7
527403120, 103597.1
528429080, 258360.5
